City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,20.86,96,97,1.34,EC,1730335777
1,port elizabeth,-33.918,25.5701,16.29,88,75,2.06,ZA,1730335779
2,port alfred,-33.5906,26.891,12.88,96,5,3.65,ZA,1730335780
3,port-aux-francais,-49.35,70.2167,4.25,85,32,12.17,TF,1730335781
4,tiksi,71.6872,128.8694,-24.06,100,77,1.42,RU,1730335782
5,invercargill,-46.4,168.35,13.34,87,100,7.6,NZ,1730335693
6,trairi,-3.2778,-39.2689,25.38,76,100,5.13,BR,1730335784
7,georgetown,5.4112,100.3354,25.97,89,20,1.54,MY,1730335785
8,adamstown,-25.066,-130.1015,21.09,74,95,11.53,PN,1730335786
9,linxia chengguanzhen,35.6003,103.2064,5.18,76,100,0.02,CN,1730335788
10,changsha,28.2,112.9667,15.09,49,0,2.52,CN,1730335789
11,jamestown,42.097,-79.2353,20.01,54,0,4.63,US,1730335790
12,margaret river,-33.95,115.0667,19.75,56,99,1.85,AU,1730335791
13,egilsstadir,65.2653,-14.3948,-0.05,69,0,2.06,IS,1730335792
14,yellowknife,62.456,-114.3525,-10.71,85,75,2.06,CA,1730335793
15,lensk,60.7253,114.9278,-11.45,95,99,0.74,RU,1730335794
16,port mathurin,-19.6833,63.4167,22.99,67,39,7.47,MU,1730335796
17,blackmans bay,-43.0167,147.3167,13.18,70,73,5.79,AU,1730335797
18,holualoa,19.6228,-155.9522,27.13,76,0,3.09,US,1730335798
19,grytviken,-54.2811,-36.5092,0.17,83,38,4.88,GS,1730335799
20,khandyga,62.6667,135.6,-17.25,89,100,0.06,RU,1730335800
21,dudinka,69.4058,86.1778,-10.64,95,100,5.15,RU,1730335801
22,anadyr,64.75,177.4833,-0.72,74,75,14.0,RU,1730335802
23,kokoda,-8.8785,147.7407,30.79,63,100,1.07,PG,1730335804
24,nyurba,63.2842,118.3319,-22.42,98,100,0.33,RU,1730335805
25,hazaribagh,23.9833,85.35,21.09,75,7,1.18,IN,1730335806
26,bredasdorp,-34.5322,20.0403,13.75,88,4,1.9,ZA,1730335807
